latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
35.077,-119.21,334.1,0.5,0.7,2016-03-01,2000,N,VIIRS,n,1.0NRT,299.8,0,D
35.073,-119.205,338.5,0.5,0.7,2016-03-01,2000,N,VIIRS,n,1.0NRT,301.2,0,D
35.16,-120.234,336.4,0.5,0.4,2016-03-02,2120,N,VIIRS,n,1.0NRT,295.1,0,D
35.156,-120.239,329.1,0.5,0.4,2016-03-02,2120,N,VIIRS,n,1.0NRT,292.6,0,D
35.156,-120.233,348.1,0.5,0.4,2016-03-02,2120,N,VIIRS,n,1.0NRT,307.3,0,D
34.32,-118.51,295.4,0.5,0.4,2016-03-02,1000,N,VIIRS,n,1.0NRT,281.1,0,N
34.334,-118.518,296.9,0.5,0.4,2016-03-02,1000,N,VIIRS,n,1.0NRT,280.9,0,N
34.333,-118.517,297,0.5,0.4,2016-03-02,1000,N,VIIRS,n,1.0NRT,280.5,0,N
34.313,-119.268,306.1,0.4,0.4,2016-03-03,0945,N,VIIRS,n,1.0NRT,278.6,0,N
34.321,-118.513,297,0.4,0.4,2016-03-03,0945,N,VIIRS,n,1.0NRT,280.5,0,N
34.335,-118.518,296.7,0.4,0.4,2016-03-03,0945,N,VIIRS,n,1.0NRT,279.9,0,N
35,-118.829,336.3,0.5,0.4,2016-03-29,2115,N,VIIRS,n,1.0NRT,301.4,0,D
34.321,-118.512,299.8,0.4,0.4,2016-03-08,0950,N,VIIRS,n,1.0NRT,276.7,0,N
34.336,-118.517,295.5,0.4,0.4,2016-03-08,0950,N,VIIRS,n,1.0NRT,275.8,0,N
34.37,-118.871,298.4,0.5,0.7,2016-03-27,0850,N,VIIRS,n,1.0NRT,284.4,0,N
34.32,-118.514,298.8,0.4,0.4,2016-03-09,0930,N,VIIRS,n,1.0NRT,279.7,0,N
34.335,-118.52,301,0.4,0.4,2016-03-09,0930,N,VIIRS,n,1.0NRT,279.7,0,N
34.319,-118.512,298.6,0.4,0.4,2016-03-29,0955,N,VIIRS,n,1.0NRT,275,0,N
34.335,-118.518,301.2,0.4,0.4,2016-03-29,0955,N,VIIRS,n,1.0NRT,276.3,0,N
34.29,-118.803,297.8,0.4,0.6,2016-03-16,0855,N,VIIRS,n,1.0NRT,285.1,0,N
34.321,-118.513,295.2,0.4,0.6,2016-03-16,0855,N,VIIRS,n,1.0NRT,283.9,0,N
34.336,-118.521,302,0.5,0.4,2016-03-18,1000,N,VIIRS,n,1.0NRT,283.4,0,N
34.32,-118.511,299.4,0.5,0.4,2016-03-20,0925,N,VIIRS,n,1.0NRT,283.1,0,N
34.336,-118.519,298.6,0.5,0.4,2016-03-20,0925,N,VIIRS,n,1.0NRT,284.4,0,N
34.292,-118.801,302.8,0.4,0.4,2016-03-30,0935,N,VIIRS,n,1.0NRT,278.2,0,N
34.401,-119,295.6,0.4,0.4,2016-03-30,0935,N,VIIRS,n,1.0NRT,278,0,N
35.009,-118.845,348.3,0.6,0.4,2016-04-27,2030,N,VIIRS,n,1.0NRT,307.5,0,D
35.008,-118.843,354.1,0.6,0.4,2016-04-27,2030,N,VIIRS,n,1.0NRT,314.5,0,D
34.446,-119.343,334,0.5,0.4,2016-03-15,2035,N,VIIRS,n,1.0NRT,293.9,0,D
34.448,-119.341,328.7,0.5,0.4,2016-03-15,2035,N,VIIRS,n,1.0NRT,293,0,D
34.32,-118.512,297.6,0.4,0.5,2016-03-15,0915,N,VIIRS,n,1.0NRT,280,0,N
35.05,-118.974,330.3,0.4,0.4,2016-03-25,2050,N,VIIRS,n,1.0NRT,304.4,0,D
35.082,-118.965,367,0.4,0.6,2016-03-17,2140,N,VIIRS,n,1.0NRT,303.3,0,D
35.084,-118.966,346,0.5,0.7,2016-03-17,2000,N,VIIRS,n,1.0NRT,300,0,D
34.292,-118.802,303.7,0.4,0.4,2016-03-25,0930,N,VIIRS,n,1.0NRT,282.8,0,N
34.319,-118.512,303.7,0.4,0.4,2016-03-25,0930,N,VIIRS,n,1.0NRT,284.9,0,N
34.334,-118.519,304.7,0.4,0.4,2016-03-25,0930,N,VIIRS,n,1.0NRT,283.9,0,N
34.291,-118.804,299.1,0.4,0.4,2016-03-13,0955,N,VIIRS,n,1.0NRT,279.7,0,N
34.32,-118.512,300.2,0.4,0.4,2016-03-13,0955,N,VIIRS,n,1.0NRT,277.1,0,N
34.32,-118.511,298.9,0.5,0.5,2016-03-26,0910,N,VIIRS,n,1.0NRT,285.1,0,N
34.335,-118.519,297.4,0.5,0.5,2016-03-26,0910,N,VIIRS,n,1.0NRT,284.4,0,N
35.154,-119.331,295.4,0.4,0.4,2016-03-19,0940,N,VIIRS,n,1.0NRT,283,0,N
35.251,-119.578,296.2,0.4,0.4,2016-03-19,0940,N,VIIRS,n,1.0NRT,286.1,0,N
34.291,-118.802,303,0.4,0.4,2016-05-01,0935,N,VIIRS,n,1.0NRT,283.8,0,N
34.321,-118.513,302.8,0.4,0.4,2016-05-01,0935,N,VIIRS,n,1.0NRT,280.2,0,N
34.334,-118.52,302.2,0.4,0.4,2016-05-01,0935,N,VIIRS,n,1.0NRT,280.8,0,N
